Gene Set,ES,NES,P-value,FDR
hsa04064_NF-kappa_B_signaling_pathway,0.2381647635425317,1.4795044654920797,0.0,0.004481857241579617
hsa01210_2-Oxocarboxylic_acid_metabolism,-0.5188623360873127,-2.535070563635342,0.0,0.0045411385872930685
hsa04062_Chemokine_signaling_pathway,0.23436574281192735,1.4842847172896048,0.0,0.00469527901498817
hsa00620_Pyruvate_metabolism,-0.4598388495463185,-2.580626314198152,0.0,0.00529799501850858
hsa00750_Vitamin_B6_metabolism,-0.40507065128427283,-1.5707388229807466,0.13636363636363635,0.005947426665938664
hsa04216_Ferroptosis,-0.2774604147098504,-1.55232167359039,0.0,0.005966357466997355
hsa00970_Aminoacyl-tRNA_biosynthesis,-0.2790388276241903,-1.5528201417651628,0.0,0.006059581802419188
hsa00980_Metabolism_of_xenobiotics_by_cytochrome_P450,-0.277839406962419,-1.5648422159079411,0.0,0.006155765640552826
hsa00100_Steroid_biosynthesis,-0.28403034322549864,-1.5029620006343634,0.0,0.006262704559192232
hsa04977_Vitamin_digestion_and_absorption,-0.2906127569742393,-1.4971762101675465,0.0,0.0062654549784101465
hsa04260_Cardiac_muscle_contraction,-0.26329915922517366,-1.5030767704529289,0.0,0.006357594022210296
hsa00020_Citrate_cycle_(TCA_cycle),-0.4725436777921903,-2.5940093936688196,0.0,0.006357594022210296
hsa04964_Proximal_tubule_bicarbonate_reclamation,-0.2809306319622575,-1.4991945046221555,0.0,0.006357594022210296
"hsa00280_Valine,_leucine_and_isoleucine_degradation",-0.4626573233372034,-2.6209742393065167,0.0,0.00794699252776287
hsa04979_Cholesterol_metabolism,-0.2586995069293324,-1.4553862129723494,0.0,0.008174049457127524
hsa00730_Thiamine_metabolism,-0.295195246354534,-1.4406342826804543,0.022727272727272728,0.008360671590851897
hsa04975_Fat_digestion_and_absorption,-0.2589654875258602,-1.4488471785017585,0.0,0.008476792029613728
hsa00983_Drug_metabolism,-0.25525254366909106,-1.4489846208389747,0.0,0.008596183466650541
hsa00520_Amino_sugar_and_nucleotide_sugar_metabolism,-0.25016507716168623,-1.4171962481549725,0.0,0.00927865073511773
hsa05230_Central_carbon_metabolism_in_cancer,-0.2479354394526725,-1.415400486645955,0.0,0.010172150435536475
hsa00650_Butanoate_metabolism,-0.4901464748987526,-2.6546529910217136,0.0,0.01059599003701716
hsa00310_Lysine_degradation,-0.2514037734418469,-1.4104675568870109,0.0,0.010623874221325099
hsa04380_Osteoclast_differentiation,0.2317939895583647,1.4371523135162854,0.0,0.011268669635971607
hsa05133_Pertussis,0.23626551734972373,1.4438885063936162,0.0,0.011686027770637222
hsa05218_Melanoma,0.23434420768127673,1.4321468143404876,0.0,0.01183210311777019
hsa05100_Bacterial_invasion_of_epithelial_cells,0.23672032361082376,1.4476562676978306,0.0,0.012135490377200192
hsa04610_Complement_and_coagulation_cascades,0.2359015978142166,1.4349576284669086,0.0,0.012240106673555368
hsa04932_Non-alcoholic_fatty_liver_disease,-0.24029936757907472,-1.383917508285492,0.0,0.012384923419890188
hsa00590_Arachidonic_acid_metabolism,-0.2441389960094405,-1.364639945141772,0.0,0.014508355589146574
hsa04660_T_cell_receptor_signaling_pathway,0.22820725804521008,1.4249475475040934,0.0,0.014631095253156683
hsa04510_Focal_adhesion,0.2272553883356275,1.4193080173482209,0.0,0.015406384267929932
hsa00630_Glyoxylate_and_dicarboxylate_metabolism,-0.4982480951409814,-2.6591507123025644,0.0,0.01589398505552574
hsa04723_Retrograde_endocannabinoid_signaling,-0.23601790966378164,-1.3557795250993356,0.0,0.01714136109785814
hsa04714_Thermogenesis,-0.23358209722382514,-1.3395262411465279,0.0,0.01899331214135326
hsa05235_PD-L1_expression_and_PD-1_checkpoint_pathway_in_cancer,0.23185466626475984,1.4103406892321442,0.0,0.02091533379403821
hsa04540_Gap_junction,0.22876080885166525,1.3975162830751535,0.0,0.0217959794274714
hsa05146_Amoebiasis,0.22282919037657917,1.3989338247187462,0.0,0.022385059952538193
hsa04640_Hematopoietic_cell_lineage,0.22644658738850798,1.4048232405670624,0.0,0.023006867173442032
hsa04360_Axon_guidance,0.2225805766418282,1.4053111658741597,0.0,0.02366420623554038
hsa04136_Autophagy,-0.2411176371435948,-1.3218699392297433,0.01694915254237288,0.02417455504741693
hsa04810_Regulation_of_actin_cytoskeleton,0.22323081245517623,1.4067883905556209,0.0,0.024360212301291564
hsa05410_Hypertrophic_cardiomyopathy,0.2251772853502452,1.3828686183510903,0.0,0.025010949679839422
hsa05221_Acute_myeloid_leukemia,0.22652347103780415,1.3866201202548787,0.0,0.02563622342183541
hsa05322_Systemic_lupus_erythematosus,0.22131300910959076,1.378281114386921,0.0,0.026140692934608557
hsa05323_Rheumatoid_arthritis,0.22700552318858808,1.394096272728369,0.0,0.026293562483933754
hsa04015_Rap1_signaling_pathway,0.2197447223396769,1.3799272006009458,0.0,0.02676309038543257
hsa00230_Purine_metabolism,-0.22317748228092352,-1.2894246463150394,0.0,0.030392400691541904
hsa04623_Cytosolic_DNA-sensing_pathway,0.22308670639014944,1.3658216850307257,0.0,0.030924814966899358
hsa05415_Diabetic_cardiomyopathy,-0.22348863124226892,-1.2818382270674915,0.0,0.032247555221090775
hsa04142_Lysosome,-0.22002831790917243,-1.2688950740095728,0.0,0.03343346503444709
hsa05012_Parkinson_disease,-0.22386407867135197,-1.2709270459624613,0.0,0.03383148247533336
hsa04137_Mitophagy,-0.22381767689973606,-1.2653352942566005,0.0,0.033931809955750306
hsa04668_TNF_signaling_pathway,0.21906098673913882,1.3592807991940674,0.0,0.035934535394709456
hsa04721_Synaptic_vesicle_cycle,-0.22038338964524767,-1.2538057235159419,0.0,0.035978202534781
hsa04913_Ovarian_steroidogenesis,-0.22163397816440644,-1.2554539766503796,0.03076923076923077,0.03617251771257582
hsa01523_Antifolate_resistance,-0.22832181450635505,-1.2413434125593448,0.08771929824561403,0.037859829570465804
hsa04912_GnRH_signaling_pathway,0.22168433978134938,1.3543451877020751,0.0,0.03901164433757562
hsa05340_Primary_immunodeficiency,0.22375204660291828,1.345040336508621,0.0,0.04149452829495796
hsa05169_Epstein-Barr_virus_infection,0.21424841166551878,1.3466798613394675,0.0,0.041538234349618744
hsa04217_Necroptosis,-0.2118063528281773,-1.2208904635052535,0.0,0.04380452144973467
hsa05016_Huntington_disease,-0.2159545459849354,-1.2212139545068508,0.0,0.0441499584875715
hsa00500_Starch_and_sucrose_metabolism,-0.22119960259801086,-1.2142662657046197,0.10526315789473684,0.04669071738892077
hsa04922_Glucagon_signaling_pathway,-0.2108973845746293,-1.2144263717298327,0.0,0.04719822518662644
hsa00600_Sphingolipid_metabolism,0.22072880661480887,1.3361917643537442,0.022222222222222223,0.04990410838787426
hsa05120_Epithelial_cell_signaling_in_Helicobacter_pylori_infection,0.21806808006857506,1.329430945621449,0.0,0.05142711485828219
hsa04929_GnRH_secretion,0.21829712129856604,1.3316927915063292,0.0,0.05166685028092983
hsa03010_Ribosome,-0.20850366962421243,-1.2024328587027449,0.0,0.05275450358855353
hsa04210_Apoptosis,0.21417272887143368,1.3206467883430382,0.0,0.05543972844489805
hsa03050_Proteasome,0.217572561097338,1.3238808737309788,0.0,0.055747408920263385
hsa00564_Glycerophospholipid_metabolism,-0.21006297003855384,-1.1902270814495286,0.0,0.057352190284570774
hsa04622_RIG-I-like_receptor_signaling_pathway,0.2159527730265149,1.3161879373498997,0.0,0.062082022531510246
hsa00910_Nitrogen_metabolism,-0.23078418742626206,-1.1845277395772347,0.18,0.06297991578252074
hsa04960_Aldosterone-regulated_sodium_reabsorption,-0.21068172476587838,-1.178337188418238,0.10909090909090909,0.06613208627226998
hsa04918_Thyroid_hormone_synthesis,-0.20647535874366277,-1.172166359899517,0.0,0.06967404061075365
hsa04658_Th1_and_Th2_cell_differentiation,0.2139374972852426,1.307017086561343,0.0,0.07072061633609768
hsa05212_Pancreatic_cancer,0.21096454585588933,1.2986297389584704,0.0,0.07144521281495114
hsa04611_Platelet_activation,0.2069736944181145,1.3015053137964205,0.0,0.07152740302832826
hsa01521_EGFR_tyrosine_kinase_inhibitor_resistance,0.21204226856685193,1.3011020153039017,0.0,0.07164995776871948
hsa05170_Human_immunodeficiency_virus_1_infection,0.2096964353337937,1.307909457498279,0.0,0.07196132890339764
hsa00532_Glycosaminoglycan_biosynthesis,0.22941323472779399,1.3109910632516129,0.02,0.0724268130239266
hsa05163_Human_cytomegalovirus_infection,0.20238158394820072,1.3101791274588315,0.0,0.07254206078156722
hsa04514_Cell_adhesion_molecules,0.20826697069197567,1.2907095651190228,0.0,0.07731559444680519
hsa04625_C-type_lectin_receptor_signaling_pathway,0.20701891890823337,1.2923679814401614,0.0,0.07760841829935285
hsa00052_Galactose_metabolism,-0.2139763251040259,-1.163349643948043,0.15789473684210525,0.07783236318099876
hsa05412_Arrhythmogenic_right_ventricular_cardiomyopathy,0.21136697650388936,1.2860624062109933,0.0,0.08257821967610443
hsa05211_Renal_cell_carcinoma,-0.20280612464122177,-1.1577686842415276,0.02564102564102564,0.0836023613920654
hsa02010_ABC_transporters,-0.20721247060477113,-1.1515387911740136,0.12280701754385964,0.08843979803173728
hsa04071_Sphingolipid_signaling_pathway,0.20579323335493904,1.280104523842461,0.0,0.0888924670129914
hsa05162_Measles,0.20165473019060057,1.2548728646276603,0.0,0.09367081634901399
hsa05130_Pathogenic_Escherichia_coli_infection,0.19889684580401853,1.2599761666445628,0.0,0.09407054956245217
hsa04613_Neutrophil_extracellular_trap_formation,0.1969250585280174,1.258481250953968,0.0,0.09439388931732218
hsa00562_Inositol_phosphate_metabolism,-0.2011659020608026,-1.1420244264946748,0.013333333333333334,0.09517692227367767
hsa00592_alpha-Linolenic_acid_metabolism,-0.22162044589977797,-1.1417422371354589,0.20408163265306123,0.09530218611934657
hsa04659_Th17_cell_differentiation,0.2008084474117691,1.2606863979482719,0.0,0.09535918722769125
hsa04914_Progesterone-mediated_oocyte_maturation,0.20715770041786102,1.2711300596862998,0.0,0.09595188100480302
hsa04722_Neurotrophin_signaling_pathway,0.19965176643832352,1.2611259333405025,0.0,0.0966836203836314
hsa04612_Antigen_processing_and_presentation,0.20835712881409532,1.2737936071063345,0.043478260869565216,0.09680811641811973
"hsa04935_Growth_hormone_synthesis,_secretion_and_action",0.20095369764405327,1.2636499824099587,0.0,0.09693436591788253
hsa04926_Relaxin_signaling_pathway,0.2000437895094843,1.264032239281584,0.0,0.09831914257385228
hsa05167_Kaposi_sarcoma-associated_herpesvirus_infection,0.19905577982510334,1.2477077417190088,0.0,0.09860085931475157
hsa05220_Chronic_myeloid_leukemia,0.20720342844769218,1.2667404471803703,0.043478260869565216,0.09860085931475158
hsa03450_Non-homologous_end-joining,0.22560018899893855,1.2640924900397448,0.07142857142857142,0.09974405768361826
hsa04934_Cushing_syndrome,-0.19662033278195393,-1.1333554731451,0.0,0.10239394218463697
hsa04917_Prolactin_signaling_pathway,0.20163195161644082,1.2322349688120762,0.045454545454545456,0.1061855408005017
hsa04014_Ras_signaling_pathway,0.18921541907049907,1.2200250794970948,0.0,0.10625692603801463
hsa04666_Fc_gamma_R-mediated_phagocytosis,0.19659158393684747,1.2223839933480294,0.0,0.10634806968948206
hsa05222_Small_cell_lung_cancer,0.19591092710820676,1.2241973004122582,0.0,0.10667900200559868
hsa04713_Circadian_entrainment,0.1949906871995917,1.2148315288126839,0.0,0.10685581497831217
hsa05223_Non-small_cell_lung_cancer,0.2001834219205353,1.2242159059772912,0.045454545454545456,0.10797996544469135
hsa05202_Transcriptional_misregulation_in_cancer,0.19562442219495776,1.2262313018237658,0.0,0.10809575687839432
hsa05213_Endometrial_cancer,0.20057136836292389,1.2281474530376317,0.0625,0.10944695383937425
hsa05143_African_trypanosomiasis,0.20431305363743882,1.2281867477408828,0.045454545454545456,0.11083235831835368
hsa05205_Proteoglycans_in_cancer,0.19261658744059793,1.202440581965587,0.0,0.11560100747246736
hsa04070_Phosphatidylinositol_signaling_system,0.19215970852908637,1.1971939575229034,0.05263157894736842,0.11630419541899106
hsa04930_Type_II_diabetes_mellitus,0.19897664067586118,1.1910034405609962,0.05714285714285714,0.12046452811932691
hsa05160_Hepatitis_C,0.19264775165359918,1.1934075820038519,0.0,0.1207312744053958
hsa05320_Autoimmune_thyroid_disease,0.19354530813694934,1.1918041300999247,0.05714285714285714,0.12157160895730908
hsa04120_Ubiquitin_mediated_proteolysis,0.19255507658138393,1.193866045946639,0.0,0.12164465564898565
hsa04012_ErbB_signaling_pathway,0.19269830968180005,1.1859390107012429,0.0,0.12341010778749553
hsa04727_GABAergic_synapse,-0.19646884792535507,-1.1201932076854548,0.0625,0.1256381675817749
hsa05203_Viral_carcinogenesis,0.18937654364178214,1.1793370488570272,0.0,0.12579393840997777
hsa04720_Long-term_potentiation,0.1918440886952624,1.1780860727937659,0.04,0.125921514083214
hsa05166_Human_T-cell_leukemia_virus_1_infection,0.18280000756922946,1.1810827681232745,0.0,0.12650280461020255
hsa04630_JAK-STAT_signaling_pathway,0.18589035845516982,1.1720498538279736,0.0,0.133975188223549
hsa01522_Endocrine_resistance,0.1871020768230079,1.1691530468933107,0.0625,0.13485410455775113
hsa04750_Inflammatory_mediator_regulation_of_TRP_channels,0.18827971348097622,1.1706085395621706,0.05555555555555555,0.1358277143621578
hsa05161_Hepatitis_B,0.18416215019443202,1.1634354949520882,0.0,0.13706495690882298
hsa04530_Tight_junction,0.18679810876395966,1.1646059416214343,0.0,0.1384356064779112
hsa05210_Colorectal_cancer,0.18925791674894682,1.1561902656544556,0.05555555555555555,0.1421012384242008
hsa05224_Breast_cancer,0.1861147912480062,1.1493405609898653,0.0,0.14474223231447025
hsa04931_Insulin_resistance,-0.19188113616785668,-1.1079846632146138,0.05813953488372093,0.15006320984500152
hsa04072_Phospholipase_D_signaling_pathway,0.18259264786370338,1.138152198823189,0.0,0.15814060897789
hsa05215_Prostate_cancer,0.18284531452824837,1.1346640051197197,0.06666666666666667,0.1613297869549935
hsa00515_Mannose_type_O-glycan_biosynthesis,0.20013314473594784,1.1335063779955488,0.18518518518518517,0.16297047690513652
hsa04370_VEGF_signaling_pathway,0.18317895653818048,1.1299119795704822,0.05714285714285714,0.16590273025986643
hsa05214_Glioma,0.18583039245906957,1.130685056038764,0.047619047619047616,0.1659781131798318
hsa05418_Fluid_shear_stress_and_atherosclerosis,0.18278616047207494,1.128784804310435,0.0,0.16611135758431123
hsa04971_Gastric_acid_secretion,0.18443269781175609,1.1289694990414003,0.043478260869565216,0.1670836379660881
hsa04520_Adherens_junction,0.18503323503116215,1.1307928654136126,0.045454545454545456,0.1675293104992695
hsa05225_Hepatocellular_carcinoma,-0.19128585165770332,-1.0990942847809644,0.0,0.16767411523997622
hsa04725_Cholinergic_synapse,0.18024144715516036,1.125444520399316,0.07142857142857142,0.17219935787469115
hsa05131_Shigellosis,0.17707381179259873,1.1222358094204172,0.0,0.17399125086160588
hsa05152_Tuberculosis,0.17592309366911904,1.1170431592656758,0.0,0.17559526945792278
hsa04940_Type_I_diabetes_mellitus,0.1867316453380749,1.1181555390440734,0.05128205128205128,0.17575170712945193
hsa04726_Serotonergic_synapse,-0.18976955570684068,-1.0958474629675736,0.09302325581395349,0.1775416997313542
hsa04350_TGF-beta_signaling_pathway,0.1790731419896643,1.1156619937952104,0.15789473684210525,0.17782154972970715
hsa05206_MicroRNAs_in_cancer,0.17708895123356427,1.1117345366117524,0.0,0.1808525163157751
hsa05226_Gastric_cancer,0.17771208038794595,1.1101557915504154,0.0,0.18299651008415757
hsa00531_Glycosaminoglycan_degradation,0.19039279711861434,1.1077564513946172,0.16326530612244897,0.1852701860737685
hsa04022_cGMP-PKG_signaling_pathway,-0.1899946309425684,-1.0916751615363707,0.02197802197802198,0.1892113303490844
hsa04920_Adipocytokine_signaling_pathway,-0.19171673362882866,-1.0907153134568826,0.15584415584415584,0.1902076538826735
hsa04218_Cellular_senescence,0.17801913451734383,1.1048632501384017,0.0,0.19145000183614266
hsa04145_Phagosome,0.17796361092127988,1.1036664049040643,0.0,0.1928013497014068
hsa04371_Apelin_signaling_pathway,0.17723914314447572,1.1020740561079923,0.0,0.1941305443229781
hsa04213_Longevity_regulating_pathway,-0.19294881887342483,-1.087693931932068,0.17142857142857143,0.1980018246376666
hsa04664_Fc_epsilon_RI_signaling_pathway,0.17948396466305835,1.0980770708125862,0.07692307692307693,0.19832400483308568
hsa04921_Oxytocin_signaling_pathway,0.17733134613984985,1.095098930540516,0.0,0.20467629990013753
hsa04973_Carbohydrate_digestion_and_absorption,0.18346361336197314,1.0888003769855208,0.05263157894736842,0.21707965186735703
hsa05164_Influenza_A,0.1715145867814238,1.0871152505574044,0.0,0.21864349279794912
hsa04261_Adrenergic_signaling_in_cardiomyocytes,0.17557258907336162,1.0840321952988174,0.0,0.22546212240160518
hsa04614_Renin-angiotensin_system,0.1850993092367495,1.080784530426452,0.22448979591836735,0.23648799851272445
hsa04657_IL-17_signaling_pathway,0.17432833388533808,1.080127644938508,0.15,0.23664206235540378
hsa04114_Oocyte_meiosis,0.17283860525348085,1.0792204804510819,0.21428571428571427,0.2390691604308438
hsa05145_Toxoplasmosis,0.1723931792079111,1.072344726723906,0.14285714285714285,0.24539010852017118
hsa04730_Long-term_depression,0.17559542588846092,1.0752136600063016,0.125,0.24552366647688523
hsa04970_Salivary_secretion,0.17633216470450133,1.0726572302154618,0.16666666666666666,0.24724912449380887
hsa04621_NOD-like_receptor_signaling_pathway,0.17008614023202495,1.067772071480272,0.0,0.2566565651416817
hsa04140_Autophagy,0.17180382904094502,1.0646913113006309,0.08333333333333333,0.2687786387246561
hsa04923_Regulation_of_lipolysis_in_adipocytes,0.17222167149392514,1.0623236065987647,0.17142857142857143,0.27233989171315326
hsa05219_Bladder_cancer,0.17741981433238568,1.0623959734985398,0.1794871794871795,0.27390738712583196
hsa03018_RNA_degradation,-0.1894131803820611,-1.0677627784012211,0.2571428571428571,0.28240205589728773
hsa00513_Various_types_of_N-glycan_biosynthesis,0.17933650009593954,1.0534158793185395,0.23255813953488372,0.2953738785559297
hsa00533_Glycosaminoglycan_biosynthesis,0.18892152505157528,1.0517167885938936,0.2857142857142857,0.29847888698279795
hsa04919_Thyroid_hormone_signaling_pathway,0.16651742406048184,1.0518286193105357,0.14285714285714285,0.3000587301448915
hsa05207_Chemical_carcinogenesis,0.16664338948952967,1.0487982856820952,0.0,0.30838992168656343
hsa04910_Insulin_signaling_pathway,-0.18412128094135072,-1.0583198489558032,0.19540229885057472,0.3269941279388163
hsa04152_AMPK_signaling_pathway,-0.18367600634441894,-1.0574304968446473,0.2413793103448276,0.3282526176730684
hsa05417_Lipid_and_atherosclerosis,0.16062988990433524,1.0378401923189198,0.0,0.34126852973939015
hsa03460_Fanconi_anemia_pathway,0.17337556853120958,1.0381788900167679,0.2564102564102564,0.34282760315590544
hsa04710_Circadian_rhythm,-0.19379073940431524,-1.053604353550964,0.40350877192982454,0.3438629114621569
hsa04925_Aldosterone_synthesis_and_secretion,0.16700492134125144,1.0383348447719547,0.2777777777777778,0.34482525870215236
hsa00601_Glycosphingolipid_biosynthesis,0.17493392532482313,1.0343646497177508,0.26666666666666666,0.34870703901106626
hsa04270_Vascular_smooth_muscle_contraction,0.1654036075719195,1.0327277168074176,0.16666666666666666,0.3507759337539861
hsa00514_Other_types_of_O-glycan_biosynthesis,0.17474610139681843,1.031882169832497,0.3023255813953488,0.35281668026911106
hsa00591_Linoleic_acid_metabolism,-0.1967070585969129,-1.049732950832146,0.3018867924528302,0.36035500600028186
hsa04066_HIF-1_signaling_pathway,-0.18088961372021597,-1.045103313333643,0.29069767441860467,0.37890173604164445
hsa04976_Bile_secretion,-0.1837255038779166,-1.0437633545505547,0.3333333333333333,0.38280258921867927
hsa03030_DNA_replication,0.16957596230876051,1.0193717236129791,0.3409090909090909,0.4017318795053729
